Data_Set_Name,Algorithm_Name,Measure,Value
RANKED,RandomForests,rKL,0.23675660425196202
RANKED,RandomForests,DTR,-0.0
RANKED,RandomForests,DIR,0.0
RANKED,RandomForests,FairnessAtK,0.04
